Mac Prefix,Mac Prefix,Vendor Name,Private,Block Type,Last Update
0:00:23,0:00:23,ABB INDUSTRIAL SYSTEMS AB,FALSE,MA-L,17/11/2015
0:00:31,0:00:31,"QPSX COMMUNICATIONS, LTD.",FALSE,MA-L,11/4/2016
0:00:37,0:00:37,OXFORD METRICS LIMITED,FALSE,MA-L,17/11/2015
0:00:46,0:00:46,OLIVETTI NORTH AMERICA,FALSE,MA-L,17/11/2015
0:00:49,0:00:49,"APRICOT COMPUTERS, LTD",FALSE,MA-L,17/11/2015
0:00:50,0:00:50,RADISYS CORPORATION,FALSE,MA-L,17/11/2015
0:00:51,0:00:51,HOB ELECTRONIC GMBH & CO. KG,FALSE,MA-L,17/11/2015
0:00:52,0:00:52,"Intrusion.com, Inc.",FALSE,MA-L,24/10/2001
0:00:58,0:00:58,RACORE COMPUTER PRODUCTS INC.,FALSE,MA-L,17/11/2015
0:00:00,0:00:00,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:01,0:00:01,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:02,0:00:02,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:03,0:00:03,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:04,0:00:04,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:05,0:00:05,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:06,0:00:06,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:07,0:00:07,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:08,0:00:08,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:09,0:00:09,XEROX CORPORATION,FALSE,MA-L,17/11/2015
0:00:10,0:00:10,SYTEK INC.,FALSE,MA-L,17/11/2015
0:00:11,0:00:11,NORMEREL SYSTEMES,FALSE,MA-L,17/11/2015
0:00:12,0:00:12,INFORMATION TECHNOLOGY LIMITED,FALSE,MA-L,17/11/2015
0:00:13,0:00:13,CAMEX,FALSE,MA-L,17/11/2015
0:00:14,0:00:14,NETRONIX,FALSE,MA-L,17/11/2015
0:00:15,0:00:15,DATAPOINT CORPORATION,FALSE,MA-L,17/11/2015
0:00:16,0:00:16,DU PONT PIXEL SYSTEMS     .,FALSE,MA-L,17/11/2015
0:00:17,0:00:17,Oracle,FALSE,MA-L,17/11/2015
0:00:18,0:00:18,WEBSTER COMPUTER CORPORATION,FALSE,MA-L,17/11/2015
0:00:19,0:00:19,APPLIED DYNAMICS INTERNATIONAL,FALSE,MA-L,17/11/2015
0:00:20,0:00:21,DATAINDUSTRIER DIAB AB,FALSE,MA-L,17/11/2015
0:00:21,0:00:21,SUREMAN COMP. & COMMUN. CORP.,FALSE,MA-L,17/11/2015
0:00:22,0:00:22,VISUAL TECHNOLOGY INC.,FALSE,MA-L,17/11/2015
0:00:24,0:00:24,CONNECT AS,FALSE,MA-L,17/11/2015
0:00:25,0:00:25,RAMTEK CORP.,FALSE,MA-L,17/11/2015
0:00:26,0:00:26,"SHA-KEN CO., LTD.",FALSE,MA-L,17/11/2015
0:00:27,0:00:27,JAPAN RADIO COMPANY,FALSE,MA-L,17/11/2015
0:00:28,0:00:28,PRODIGY SYSTEMS CORPORATION,FALSE,MA-L,17/11/2015
0:00:29,0:00:29,IMC NETWORKS CORP.,FALSE,MA-L,17/11/2015
0:00:30,0:00:30,VG LABORATORY SYSTEMS LTD,FALSE,MA-L,17/11/2015
0:00:32,0:00:32,Marconi plc,FALSE,MA-L,17/11/2015
0:00:33,0:00:33,EGAN MACHINERY COMPANY,FALSE,MA-L,17/11/2015
0:00:34,0:00:34,NETWORK RESOURCES CORPORATION,FALSE,MA-L,17/11/2015
0:00:35,0:00:35,SPECTRAGRAPHICS CORPORATION,FALSE,MA-L,17/11/2015
0:00:36,0:00:36,ATARI CORPORATION,FALSE,MA-L,17/11/2015
0:00:38,0:00:38,CSS LABS,FALSE,MA-L,17/11/2015
0:00:39,0:00:39,TOSHIBA CORPORATION,FALSE,MA-L,17/11/2015
0:00:40,0:00:40,"APPLICON, INC.",FALSE,MA-L,17/11/2015
0:00:41,0:00:41,ICE CORPORATION,FALSE,MA-L,17/11/2015
0:00:42,0:00:42,METIER MANAGEMENT SYSTEMS LTD.,FALSE,MA-L,17/11/2015
0:00:43,0:00:43,MICRO TECHNOLOGY,FALSE,MA-L,17/11/2015
0:00:44,0:00:44,CASTELLE CORPORATION,FALSE,MA-L,17/11/2015
0:00:45,0:00:45,FORD AEROSPACE & COMM. CORP.,FALSE,MA-L,17/11/2015
0:00:47,0:00:47,NICOLET INSTRUMENTS CORP.,FALSE,MA-L,17/11/2015
0:00:48,0:00:48,Seiko Epson Corporation,FALSE,MA-L,2/7/2019
0:00:53,0:00:53,COMPUCORP,FALSE,MA-L,17/11/2015
0:00:54,0:00:54,Schneider Electric,FALSE,MA-L,17/11/2015
0:00:55,0:00:55,COMMISSARIAT A L`ENERGIE ATOM.,FALSE,MA-L,17/11/2015
0:00:56,0:00:56,DR. B. STRUCK,FALSE,MA-L,17/11/2015
0:00:57,0:00:57,SCITEX CORPORATION LTD.,FALSE,MA-L,17/11/2015
0:00:59,0:00:59,Hellige GMBH,FALSE,MA-L,17/11/2015
80:00:10,80:00:10,AT&T,FALSE,MA-L,12/10/2016
10:00:00,10:00:00,Private,FALSE,MA-L,17/11/2015
40:00:03,40:00:03,,TRUE,,0001/01/01
10:00:20,10:00:20,"Apple, Inc.",FALSE,MA-L,24/6/2021
0:04:00,0:04:00,"LEXMARK INTERNATIONAL, INC.",FALSE,MA-L,17/11/2015
0:05:02,0:05:02,"Apple, Inc.",FALSE,MA-L,11/10/2017
0:06:29,0:06:29,IBM Corp,FALSE,MA-L,17/11/2015
0:07:01,0:07:01,RACAL-DATACOM,FALSE,MA-L,17/11/2015
0:08:00,0:08:00,"MULTITECH SYSTEMS, INC.",FALSE,MA-L,17/11/2015
0:10:00,0:10:00,"CABLE TELEVISION LABORATORIES, INC.",FALSE,MA-L,17/11/2015
0:10:01,0:10:01,Citel,FALSE,MA-L,17/11/2015
0:10:02,0:10:02,ACTIA,FALSE,MA-L,17/11/2015
0:10:03,0:10:03,"IMATRON, INC.",FALSE,MA-L,17/11/2015
0:10:04,0:10:04,"THE BRANTLEY COILE COMPANY,INC",FALSE,MA-L,17/11/2015
0:10:05,0:10:05,UEC COMMERCIAL,FALSE,MA-L,17/11/2015
0:10:06,0:10:06,Thales Contact Solutions Ltd.,FALSE,MA-L,17/11/2015
0:10:07,0:10:07,"Cisco Systems, Inc",FALSE,MA-L,17/11/2015
0:10:08,0:10:08,VIENNA SYSTEMS CORPORATION,FALSE,MA-L,17/11/2015
0:10:09,0:10:09,HORANET,FALSE,MA-L,22/4/2017
0:20:00,0:20:00,"LEXMARK INTERNATIONAL, INC.",FALSE,MA-L,17/11/2015
0:20:02,0:20:02,"SERITECH ENTERPRISE CO., LTD.",FALSE,MA-L,17/11/2015
0:20:03,0:20:03,PIXEL POWER LTD.,FALSE,MA-L,17/11/2015
0:20:04,0:20:04,"YAMATAKE-HONEYWELL CO., LTD.",FALSE,MA-L,17/11/2015
0:20:05,0:20:05,SIMPLE TECHNOLOGY,FALSE,MA-L,17/11/2015
0:20:06,0:20:06,"GARRETT COMMUNICATIONS, INC.",FALSE,MA-L,17/11/2015
0:20:07,0:20:07,"SFA, INC.",FALSE,MA-L,17/11/2015
0:20:08,0:20:08,CABLE & COMPUTER TECHNOLOGY,FALSE,MA-L,17/11/2015
0:20:09,0:20:09,"PACKARD BELL ELEC., INC.",FALSE,MA-L,17/11/2015
0:40:01,0:40:01,Zero One Technology Co. Ltd.,FALSE,MA-L,17/11/2015
0:40:09,0:40:09,"TACHIBANA TECTRON CO., LTD.",FALSE,MA-L,17/11/2015
8:00:06,8:00:06,SIEMENS AG,FALSE,MA-L,17/11/2015
8:00:07,8:00:07,"Apple, Inc.",FALSE,MA-L,11/10/2017
8:00:09,8:00:09,Hewlett Packard,FALSE,MA-L,17/11/2015
10:00:5A,10:00:5A,IBM Corp,FALSE,MA-L,17/11/2015
10:00:E8,10:00:E8,NATIONAL SEMICONDUCTOR,FALSE,MA-L,17/11/2015
0:01:00,0:01:00,EQUIP'TRANS,FALSE,MA-L,17/11/2015
0:01:02,0:01:02,3COM,FALSE,MA-L,2/6/2018
0:01:03,0:01:03,3COM,FALSE,MA-L,2/6/2018
0:01:04,0:01:04,"DVICO Co., Ltd.",FALSE,MA-L,17/11/2015
0:01:05,0:01:05,Beckhoff Automation GmbH,FALSE,MA-L,17/11/2015
0:01:06,0:01:06,Tews Datentechnik GmbH,FALSE,MA-L,17/11/2015
0:01:07,0:01:07,Leiser GmbH,FALSE,MA-L,17/11/2015
0:01:08,0:01:08,"AVLAB Technology, Inc.",FALSE,MA-L,17/11/2015
0:01:09,0:01:09,"Nagano Japan Radio Co., Ltd.",FALSE,MA-L,17/11/2015
0:01:10,0:01:10,Gotham Networks,FALSE,MA-L,17/11/2015
0:01:11,0:01:11,iDigm Inc.,FALSE,MA-L,17/11/2015
0:01:12,0:01:12,Shark Multimedia Inc.,FALSE,MA-L,17/11/2015
0:01:13,0:01:13,OLYMPUS CORPORATION,FALSE,MA-L,17/11/2015
0:01:14,0:01:14,"KANDA TSUSHIN KOGYO CO., LTD.",FALSE,MA-L,17/11/2015
0:01:15,0:01:15,EXTRATECH CORPORATION,FALSE,MA-L,17/11/2015
0:01:16,0:01:16,"Netspect Technologies, Inc.",FALSE,MA-L,17/11/2015
0:01:17,0:01:17,Canal +,FALSE,MA-L,2/7/2019
0:01:18,0:01:18,"EZ Digital Co., Ltd.",FALSE,MA-L,17/11/2015
0:01:19,0:01:19,RTUnet (Australia),FALSE,MA-L,17/11/2015
0:01:20,0:01:20,OSCILLOQUARTZ S.A.,FALSE,MA-L,17/11/2015
0:01:21,0:01:21,"WatchGuard Technologies, Inc.",FALSE,MA-L,13/6/2018
0:01:22,0:01:22,"Trend Communications, Ltd.",FALSE,MA-L,17/11/2015
0:01:23,0:01:23,Schneider Electric Japan Holdings Ltd.,FALSE,MA-L,22/9/2017
0:01:24,0:01:24,Acer Incorporated,FALSE,MA-L,17/11/2015
0:01:25,0:01:25,"YAESU MUSEN CO., LTD.",FALSE,MA-L,17/11/2015
0:01:26,0:01:26,PAC Labs,FALSE,MA-L,17/11/2015
0:01:27,0:01:27,OPEN Networks Pty Ltd,FALSE,MA-L,17/11/2015
0:01:28,0:01:28,"EnjoyWeb, Inc.",FALSE,MA-L,17/11/2015
0:01:29,0:01:29,DFI Inc.,FALSE,MA-L,17/11/2015
0:01:30,0:01:30,Extreme Networks Headquarters,FALSE,MA-L,14/7/2023
0:01:31,0:01:31,"Bosch Security Systems, Inc.",FALSE,MA-L,17/11/2015
0:01:32,0:01:32,Dranetz - BMI,FALSE,MA-L,17/11/2015
0:01:33,0:01:33,KYOWA Electronic Instruments C,FALSE,MA-L,17/11/2015
0:01:34,0:01:34,Selectron Systems AG,FALSE,MA-L,17/11/2015
0:01:35,0:01:35,KDC Corp.,FALSE,MA-L,17/11/2015
0:01:36,0:01:36,CyberTAN Technology Inc.,FALSE,MA-L,2/7/2019
0:01:37,0:01:37,IT Farm Corporation,FALSE,MA-L,17/11/2015
0:01:38,0:01:38,XAVi Technologies Corp.,FALSE,MA-L,17/11/2015
0:01:39,0:01:39,Point Multimedia Systems,FALSE,MA-L,17/11/2015
0:01:40,0:01:40,Sendtek Corporation,FALSE,MA-L,17/11/2015
0:01:41,0:01:41,CABLE PRINT,FALSE,MA-L,17/11/2015
0:01:42,0:01:42,"Cisco Systems, Inc",FALSE,MA-L,17/11/2015
0:01:43,0:01:43,"Cisco Systems, Inc",FALSE,MA-L,17/11/2015
0:01:44,0:01:44,Dell EMC,FALSE,MA-L,26/7/2017
0:01:45,0:01:45,"WINSYSTEMS, INC.",FALSE,MA-L,17/11/2015
0:01:46,0:01:46,"Tesco Controls, Inc.",FALSE,MA-L,17/11/2015
0:01:47,0:01:47,DZS Inc.,FALSE,MA-L,16/12/2022
0:01:48,0:01:48,X-traWeb Inc.,FALSE,MA-L,17/11/2015
0:01:49,0:01:49,TDT AG,FALSE,MA-L,2/7/2019
0:01:50,0:01:50,"GILAT COMMUNICATIONS, LTD.",FALSE,MA-L,17/11/2015
0:01:51,0:01:51,Ensemble Communications,FALSE,MA-L,17/11/2015
0:01:52,0:01:52,CHROMATEK INC.,FALSE,MA-L,17/11/2015
0:01:53,0:01:53,ARCHTEK TELECOM CORPORATION,FALSE,MA-L,17/11/2015
0:01:54,0:01:54,G3M Corporation,FALSE,MA-L,17/11/2015
0:01:55,0:01:55,"Promise Technology, Inc.",FALSE,MA-L,17/11/2015
0:01:56,0:01:56,"FIREWIREDIRECT.COM, INC.",FALSE,MA-L,17/11/2015
0:01:57,0:01:57,"SYSWAVE CO., LTD",FALSE,MA-L,17/11/2015
0:01:58,0:01:58,Electro Industries/Gauge Tech,FALSE,MA-L,17/11/2015
0:01:59,0:01:59,S1 Corporation,FALSE,MA-L,17/11/2015
0:02:00,0:02:00,"Net & Sys Co., Ltd.",FALSE,MA-L,17/11/2015
0:02:01,0:02:01,IFM Electronic gmbh,FALSE,MA-L,17/11/2015
0:02:02,0:02:02,"Amino Communications, Ltd.",FALSE,MA-L,17/11/2015
0:02:03,0:02:03,"Woonsang Telecom, Inc.",FALSE,MA-L,17/11/2015
0:02:04,0:02:04,Bodmann Industries Elektronik GmbH,FALSE,MA-L,17/11/2015
0:02:05,0:02:05,"Hitachi Denshi, Ltd.",FALSE,MA-L,17/11/2015
0:02:06,0:02:06,Telital R&D Denmark A/S,FALSE,MA-L,17/11/2015
0:02:08,0:02:08,"Unify Networks, Inc.",FALSE,MA-L,17/11/2015
0:02:09,0:02:09,"Shenzhen SED Information Technology Co., Ltd.",FALSE,MA-L,17/11/2015
0:02:10,0:02:10,Fenecom,FALSE,MA-L,17/11/2015
0:02:11,0:02:11,Nature Worldwide Technology Corp.,FALSE,MA-L,17/11/2015
0:02:12,0:02:12,SierraCom,FALSE,MA-L,17/11/2015
0:02:13,0:02:13,S.D.E.L.,FALSE,MA-L,17/11/2015
0:02:14,0:02:14,DTVRO,FALSE,MA-L,17/11/2015
0:02:15,0:02:15,Cotas Computer Technology A/B,FALSE,MA-L,17/11/2015
0:02:16,0:02:16,"Cisco Systems, Inc",FALSE,MA-L,17/11/2015
0:02:17,0:02:!7,"Cisco Systems, Inc",FALSE,MA-L,17/11/2015
0:02:18,0:02:!8,Advanced Scientific Corp,FALSE,MA-L,17/11/2015
0:02:19,0:02:19,Paralon Technologies,FALSE,MA-L,17/11/2015
F4:A8:0D,F4:A8:0D,"Wistron InfoComm(Kunshan)Co.,Ltd.",FALSE,,19/10/2024
